url,name,academy
https://jwc.njnu.edu.cn/rcpy/pyfa/ylxy/wdx_sf_.htm,舞蹈学（师范）,音乐学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/zgh_sf_.htm,中国画（师范）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/sjcdsj.htm,视觉传达设计,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/msx_sf_.htm,美术学（师范）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/hh_xh_.htm,绘画（西画）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/hh_ds_.htm,绘画（雕塑）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/hjsj.htm,环境设计,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/cpsj_zhcl_.htm,产品设计（综合材料）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/cpsj_ty_.htm,产品设计（陶艺）,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/msxy/sfx.htm,书法学,美术学院
https://jwc.njnu.edu.cn/rcpy/pyfa/tykxxy/shtyzdygl.htm,社会体育指导与管理,体育科学学院
https://jwc.njnu.edu.cn/rcpy/pyfa/tykxxy/tyjy_sf_.htm,体育教育（师范）,体育科学学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xwycbxy/xwx.htm,新闻学,新闻与传播学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xwycbxy/wlyxmt.htm,网络与新媒体,新闻与传播学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xwycbxy/ggx.htm,广告学,新闻与传播学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xwycbxy/gbdsx.htm,广播电视学,新闻与传播学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xwycbxy/gbdsbd.htm,广播电视编导,新闻与传播学院
https://jwc.njnu.edu.cn/rcpy/pyfa/sxy/rlzygl.htm,人力资源管理,商学院
https://jwc.njnu.edu.cn/rcpy/pyfa/sxy/jjx.htm,经济学,商学院
https://jwc.njnu.edu.cn/rcpy/pyfa/sxy/jrx.htm,金融学,商学院
https://jwc.njnu.edu.cn/rcpy/pyfa/sxy/gjjjymy.htm,国际经济与贸易,商学院
https://jwc.njnu.edu.cn/rcpy/pyfa/sxy/gsgl.htm,工商管理,商学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jlnzxy/yy.htm,英语,金陵女子学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jlnzxy/yy_zmhzbx_.htm,英语（中美合作办学）,金陵女子学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jlnzxy/ldyshbz.htm,劳动与社会保障,金陵女子学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jlnzxy/hjx.htm,会计学,金陵女子学院
https://jwc.njnu.edu.cn/rcpy/pyfa/jlnzxy/cwgl.htm,财务管理,金陵女子学院
https://jwc.njnu.edu.cn/rcpy/pyfa/fxy/fx__1j3_zzy_.htm,法学（“1加3”转专业）,法学院
https://jwc.njnu.edu.cn/rcpy/pyfa/fxy/fx2.htm,法学,法学院
https://jwc.njnu.edu.cn/rcpy/pyfa/xlxy/yyxlx.htm,应用心理学,心理学院
